image_urls,jav_id,jav_magnet,jav_time,jav_update,jav_url
https://pics.javcdn.pw/cover/7zyj_b.jpg,SHYN-134,"[{'magnetUrl': 'magnet:?xt=urn:btih:24A692F253FDF23CA0EC281E15A1F1A0D876C076&dn=107SHYN-134', 'size': '1.42GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:2C80C173928B8935E62B279D82FBB61E31675C20&dn=SHYN-134.mp4', 'size': '1.34GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:B04E439A4BD44304B906126A7B3A8FF90CC2B3B4&dn=107SHYN-134', 'size': '504.90MB'}]", 42分鐘, 2020-12-02,https://www.fanbus.in/SHYN-134
https://pics.javcdn.pw/cover/8019_b.jpg,NACX-068,"[{'magnetUrl': 'magnet:?xt=urn:btih:4D25FB8DE51F870225C11D7D2D8B450094689468&dn=NACX-068.mp4', 'size': '3.75GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:16399D9A356BEEDD61133614ECCB449CB7D1F3A6&dn=NACX-068_2K', 'size': '3.75GB'}]", 242分鐘, 2020-12-01,https://www.fanbus.in/NACX-068
https://pics.javcdn.pw/cover/800b_b.jpg,EMOIS-014,"[{'magnetUrl': 'magnet:?xt=urn:btih:D16201DC72DD2F3DFD611BCC5936C38C85DFDB59&dn=EMOIS014', 'size': '2.34GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:11EE90B3982E4DF0861F3BBB2565C357C7D03242&dn=EMOIS-014', 'size': '10.12GB'}]", 241分鐘, 2020-12-01,https://www.fanbus.in/EMOIS-014
https://pics.javcdn.pw/cover/801o_b.jpg,HDKA-221,"[{'magnetUrl': 'magnet:?xt=urn:btih:E87882C722EFF57B32828767B8131901457043A9&dn=HDKA-221.mp4', 'size': '3.75GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:EDB88660D78B0BB32499E64C24F580C668544167&dn=HDKA-221-Idolred.mp4', 'size': '3.75GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:1F605D5EB1E9966DADC3C5666B189E3DE388D9B4&dn=HDKA-221_2K', 'size': '3.75GB'}]", 242分鐘, 2020-12-01,https://www.fanbus.in/HDKA-221
https://pics.javcdn.pw/cover/801a_b.jpg,NACX-067,"[{'magnetUrl': 'magnet:?xt=urn:btih:02DF0E368F93A2BB48FB681CF723D5C2E143B053&dn=NACX-067.mp4', 'size': '3.75GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:A4A9F155B77AA0730F34DE200F0BC14D5F41AA1F&dn=NACX-067-Idolred.mp4', 'size': '3.75GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:49F766581060F7F30B1F7D7C603367E3DF32CD44&dn=NACX-067_2K', 'size': '3.75GB'}]", 242分鐘, 2020-12-01,https://www.fanbus.in/NACX-067
https://pics.javcdn.pw/cover/80c9_b.jpg,GVH-156,"[{'magnetUrl': 'magnet:?xt=urn:btih:1177C6047110B42B84F87C5FB26124FAB1DB4870&dn=gvh-156', 'size': '5.82GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:A2D08F37E6B0949CB095864E88E197C8E135267F&dn=GVH156', 'size': '1.46GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:085BD272DF9EBBA5618B43E77DA978E1D3EE6FF7&dn=GVH-156.mp4', 'size': '5.73GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:1EDC7636A1ACA1476B8D17D51FC86EDAAF20023A&dn=gvh-156', 'size': '5.73GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:C3BE42FABED31EFDE5C7859DA0739813AE1D6BA9&dn=gvh-156-Idolred.mp4', 'size': '5.73GB'}]", 137分鐘, 2020-12-02,https://www.fanbus.in/GVH-156
https://pics.javcdn.pw/cover/801k_b.jpg,NACR-370,"[{'magnetUrl': 'magnet:?xt=urn:btih:233A84EB2DF1F17D5A4A541368A92AFBE7D3B8F8&dn=NACR-370.mp4', 'size': '5.20GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:09BB21B481A38008BD1D8A6C9DD966F9D4B62CD2&dn=NACR-370_2K', 'size': '1.88GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:3D4F3E32AD2D5829F6D67C1CE175E670BA81A98E&dn=nacr-370', 'size': '5.20GB'}]", 120分鐘, 2020-12-01,https://www.fanbus.in/NACR-370
https://pics.javcdn.pw/cover/801n_b.jpg,HDKA-222,"[{'magnetUrl': 'magnet:?xt=urn:btih:C794E4E831EFDCAC5AFD67273005E8979842963B&dn=HDKA-222.mp4', 'size': '5.46GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:B1C508678EECD4A3EC9ECF53AA8CE9A0D91542A0&dn=HDKA-222_2K', 'size': '1.96GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:F9B7BEF2EBFCA13293DB22930EBC72B4C574E2BD&dn=hdka-222', 'size': '5.46GB'}]", 125分鐘, 2020-12-01,https://www.fanbus.in/HDKA-222
https://pics.javcdn.pw/cover/809k_b.jpg,JBJB-017,"[{'magnetUrl': 'magnet:?xt=urn:btih:40A14FB198EF65C3377B9D93B277E9EC1161878E&dn=jbjb-017.mp4', 'size': '1.11GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:42AED4B3FEB599049459461020FB5AB9A89BA0CA&dn=jbjb00017', 'size': '1.21GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:BF7E4572A35F6C0D55EF5C2F20F6E4D7DB2F947F&dn=JBJB-017.mp4', 'size': '4.97GB'}]", 119分鐘, 2020-11-28,https://www.fanbus.in/JBJB-017
https://pics.javcdn.pw/cover/7zz0_b.jpg,SGT-053,"[{'magnetUrl': 'magnet:?xt=urn:btih:483B8E06C200EB89AD09CBDBE124A28B0BDA83B1&dn=SGT-053.mp4', 'size': '5.17GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:CAD09126935E1AD57665B49C884BDE3A62C3F23E&dn=sgt-053-Idolred.mp4', 'size': '5.17GB'}]", 124分鐘, 2020-11-29,https://www.fanbus.in/SGT-053
